# QT9 sub-batch 8 — 20 videos. Created 2026-08-05.
daily_evolution | 27 Minutes To Become Unrecognizable In 27 Days [V63ND9N6gvk]
natural_lifestyles_meetingGirlsIRL | Who Wins at Street Pickup？ Pro Dating Coach or Hot Model？ (1hr Challenge) [VGgtgzrkRTo]
TODD_V_CONVERSATION_TOPICS | Why You Get Rejected (+Student Infield) [VGuAGRORK68]
daily_evolution | Student Daygame Infield ｜ Pickup Girls During The Day [W6ZNZiwvRGY]
daily_evolution | Inside The Mind Of Alpha Chad #50 of The Aaron Alexander Experience Podcast [WLkVYtnnjzE]
natural_lifestyles_meetingGirlsIRL | How to get Rejected like a BOSS - James Marshall Infield [WSFSpbFCPZo]
daily_evolution | Anti-Trump Rally Picking Up Hillary Supporters [WyXNWCB0U_k]
daily_evolution | Daygame Infield Rampage!!! [X5jkjtGbcnU]
social_stoic | Do THIS To 10x Your Results With Women (Infield Examples) [XOS_kGpXl0U]
natural_lifestyles_meetingGirlsIRL | How To Be Persistent with Women Without Being A Creep [YEOgoofhe-8]
daily_evolution | DAYGAME INFIELD ｜ Picking Up Hot Blonde With Her Sister [YI0R17xr7Po]
daily_evolution | Infield Pick Up ｜ RAW UNEDITED [YMuLZZad0u8]
daily_evolution | Advanced Nightgame For Newbies (+INFIELD) [YNUrqHFMvl8]
playing_with_fire_infield | What It's Like For a Girl Alone at a Bar (Hidden Infield + Surprise) [Y__pXW363dA]
daily_evolution | DAYGAME INFIELD PREVIEW [Ylb1JjYht64]
coach_kyle_how_to_approach_a_girl | Women WANT to be approached, just not how YOU do it [YqjurCgoWro]
coach_kyle_how_to_approach_a_girl | What to say to a Woman in the 1st Seconds？ (LIVE DEMO) [Yz1TGfAF0zc]
daily_evolution | Daygame Infield Epic Grocery Store Pickup Hot Blonde! [ZQoGfv-wH4k]
daily_evolution | Picking Up TWO Hot College Girls [ZrEfOj0eUwA]
social_stoic | Teaching MMA Fighter How To Cold Approach Women (Student Infield) [_Am8ItTeNoQ]
