# Batch P017 - Previously missing videos
# Created: 2026-02-09
# Videos: 95
#
# Format: source_name | video_folder_name
coach_kyle_deep_videos | Weird Technique Makes Only Hot Girls Chase You 😈 [XCvDf5YxtBg]
coach_kyle_how_to_approach_a_girl | How to Approach a Girl [PLpp1UUwZH-Kqno9bKjk4FoDL7lnJyeHWZ]
coach_kyle_infield | 10 Secrets to FLIRTING Without Pedestalizing Her (LIVE DEMO) [FVNOq-rQ2O0]
coach_kyle_infield | 10 Tricks to FLIRT Without Pedestalizing Her (LIVE DEMO) [HqQdRyRgPtU]
coach_kyle_infield | 3 Easy Ways To Make Her Chase You (LIVE DEMO) [7BfD4URAD1Y]
coach_kyle_infield | 3 Mistakes That Kill Your Pick Up Game❌ (Picking Up Girls) [Y9D7p8KMZek]
coach_kyle_infield | 5 Easy Steps to Turn a Hi into an INSTANT Date (LIVE DEMO) [6ImEzB6NhiI]
coach_kyle_infield | 5 Minute Attraction HACK for Cold Approach Success! [d8H9RlGpS0g]
coach_kyle_infield | 5 Small Things That Create BIG Attraction (LIVE DEMO) [SwKI2EmazhA]
coach_kyle_infield | 5 Women, 5 Different Reactions — How to Win All of Them (LIVE DEMO) [5sTASDqe0u8]
coach_kyle_infield | Afraid of talking to women？ Watch this approach [rE1b1SFoa4A]
coach_kyle_infield | Approach ANY GIRL in Public LIKE a PRO! (INFIELD) [mv2X8Yhg9M0]
coach_kyle_infield | Cold Approaching a HOT Girl in Miami (Can I get a date？) [pI3rYRHL4Oc]
coach_kyle_infield | From DISINTEREST to Getting Her Number (LIVE DEMO) [FNpZs1VhwaA]
coach_kyle_infield | How to Approach a Group of Girls (INFIELD) [tyI2OZCVhT8]
coach_kyle_infield | How to Cold APPROACH (Infield) [DGrky-wDxuQ]
coach_kyle_infield | How to Fix Rejection in 5 minutes (INFIELD) [JKWRj2hwbT4]
coach_kyle_infield | How to STOP having boring small talk with girls [wOY3e8eYEWc]
coach_kyle_infield | How to approach a woman when she’s with her friends [4x9bvKaVWBc]
coach_kyle_infield | How to approach women in the club (Nighttime Teasing) (LIVE DEMO) [mU-EjoXxTrY]
coach_kyle_infield | I Approached an Older Woman Waiting for a Date and Got SHOCKING Results! [TDxv3HxDYHk]
coach_kyle_infield | I teach an average guy how to cold approach (LIVE DEMO) [0DEnRDZ-sqI]
coach_kyle_infield | Infield [PLpp1UUwZH-KpdTjXwD8ZHlcO3-OE8hRUj]
