# QT9 sub-batch 7 — 20 videos. Created 2026-08-05.
TODD_V | 03.3 Todd V - How To Talk To A Girl (Infield Breakdown) [PwvM7HhnUEA]
daily_evolution | Daygame Mistake That's KILLING Your Game + Daygame Infield [PxzGv8sERhY]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #7 - How To Do Real Bouncebacks (infield) [Q8ogLW676MA]
daily_evolution | Picking Up 10⧸10 Black Model At Grocery Store (Daygame Infield) [QQAPxu7t8pc]
playing_with_fire_infield | 40 Year Old ＂Natural＂ Tries Cold Approach [QVfFg_rFJyw]
daily_evolution | Daygame Infield ｜ 3 BRUTAL REJECTIONS IN A ROW! [QoSeMHSS4rg]
daily_evolution | Daygame Infield King 🤴 Brutal Rejection Compilation 😭 [Qxu7N3WGgTg]
daily_evolution | Picking Up Hot Swedish Girls [R3x1zuKnZwU]
austen_summers_meets_girls | Picking Up Cosplay Girls At Comic-Con 2019 - PART 2 [R6inrSd9qFk]
coach_kyle_how_to_approach_a_girl | How To Talk To Girls In An Elevator 👋 #shorts [R8J9ae3bkrw]
daily_evolution | Nightgame makeout + 30 Girls In 30 Days 🤯 [RadYoY8V0IY]
daily_evolution | Daygame Street Training + Daygame Infield [RjGLgYDGwak]
daily_evolution | Daygame Bootcamp ｜ Two Sets + Having Fun [S0QG0XPd_gE]
daily_evolution | Do You HATE Approaching？ Here's How To Fix It (+Daygame Infield) [SgMcVhC4Oi8]
daily_evolution | We Asked Hot Girls Why They Ghost Guys [T5bfklJY_MI]
daily_evolution | Grocery Store Rizz [T5mM1dg1ZMg]
austen_summers_client_results | Leveled Up Social Skills, Looks, and Online - Immersion Results [TPyy-HDQOFM]
daily_evolution | Aaron Rants About The Glory of Pickup And It’s Critics [TpdbOdQv4dg]
social_stoic | Picking-Up Cute Girl in Coffee Shop (Infield) [UMZkMjD3luQ]
daily_evolution | Daygame Infield Rejection Compilation ｜  AARON EXPOSED [UmtqjbdVKlo]
