# QT9 sub-batch 10 — 20 videos. Created 2026-08-05.
daily_evolution | DAYGAME PICKUP INFIELD 1 HOUR COMPILATION [e1eqqTOSlkE]
daily_evolution | Never Date Dramatic Women!! [e84ZINSkl54]
austen_summers_client_results | 2 Week Immersion Testimonial - JP [eCWdmkvNrO0]
daily_evolution | Picking Up Hot Latina (Daygame Infield BRAND NEW 2021) [eFmMa8svM70]
coach_kyle_how_to_approach_a_girl | Simple cold approach： Introvert to Social Confidence in 5min [efhstinc2Fo]
daily_evolution | SOLID Daygame Pickup Infield [evz4FOeW1N8]
daily_evolution | Daygame Pickup Infield ｜ Babe With Her Friend [ewlxDc9q26I]
daily_evolution | INFIELD + Daygame Cutie With Headphones Tells Me She Has A Boyfriend [fFq5RzV_46o]
playing_with_fire_infield | Picking Up Miami Girls In A Lamborghini (Crazy Infield) [fO1NVRiSy9s]
daily_evolution | Daygame Pickup Goes Horribly Wrong [fR2SHFTVlII]
daily_evolution | Daygame Pickup Infield - Picking Up Babe In Two Set [fbHe7qp6NtA]
daily_evolution | Rizzing A Hot Blonde At The Grocery Store [fp2KhjaR7aQ]
daily_evolution | Daygame Deep Dive 3⧸5 [g-7icYm0VhE]
playing_with_fire_infield | Flat Earthers Pick Up Hot Girls (LIVE infield) [g-hSM5Vb4Sk]
coach_kyle_how_to_approach_a_girl | Why She Never Responds After Getting Her Number？ [g0aE4mO24IY]
natural_lifestyles_meetingGirlsIRL | Escaped Mental Ward, Picked Up Serbian Model (Getting Dates By Being Crazy & Fun) [g3mJnwBcMaI]
social_stoic | How to Pick Up an Arrogant Woman (Infield) [gISxAc0Zvtw]
natural_lifestyles_femalepsychology | ＂Approaching women just leads to rejection” - 7 Excuses That Ruin Your Dating Life [gJy-_c_zwN4]
daily_evolution | Daygame Deep Dive 1⧸5 [gQWiQbLxUBE]
daily_evolution | Infield Breakdown ｜ Daygame Tactics [g_MgNnM75x0]
