# Batch P003 -
# Created: 2026-02-06T20:01:33Z
# Videos: 100
# Estimated infield: 100/100
#
# Format: source_name | video_folder_name
austen_summers_client_results | First Nightgame Pull and Daygame Pull - Immersion Results [M4sX7Xd9lV4]
austen_summers_client_results | First Sober Pull - Immersion Testimonial [zzRdjIz3YLg]
austen_summers_client_results | From Approach Anxiety to Getting Instagram Models - Elvio Academy Mentorship Testimonial [0fXt-cwzDwc]
austen_summers_client_results | From Complete Beginner to Instadates and Pulls - Immersion Testimonial [zNRFeTDJQ5c]
austen_summers_client_results | Instadates, Pulls, and Closes with Personal 10's - Immersion Results [71xUMBrQjnc]
austen_summers_client_results | No Experience with Pickup to Getting Numbers! [l9WyhPG6_So]
austen_summers_client_results | No More Approach Anxiety - Bootcamp Testimonial [HNnswkVaeEs]
austen_summers_client_results | Pulled 4 times in 5 Days - Immersion Results [MS1JrFBtw3g]
austen_summers_client_results | Pulled Twice on the First Night [cj-efzMEpM8]
austen_summers_client_results | Pulled and Closed an OnlyFans Model! ｜ Mentorship Results [xcHP6sZHxX0]
austen_summers_client_results | ＂First Night We Pulled, We Banged＂ [r9YTJ38Vf1k]
austen_summers_client_results | ＂I Pulled The Hottest Girl of My Life＂ - Immersion Results [U7p3LU1ZVyc]
austen_summers_client_results | Charles Immersion Testimonial [_Xd5tzqadzU]
austen_summers_client_results | Chris Bootcamp Testimonial [45BFI938IBs]
austen_summers_client_results | Complete Beginner to Having Threesomes and Getting an Awesome Girlfriend [ngG5D877MO4]
austen_summers_client_results | Daniel Bootcamp Testimonial [tz_Fbn2zoIE]
austen_summers_client_results | From ＂Virgin＂ to 11 Lays, 3 Girlfriends, and His Perfect Ten [2x39jBuNGS8]
austen_summers_client_results | I Dated My Perfect 10 on Immersion! [pRkEJ91TEEY]
austen_summers_client_results | Indian Student Instadates Girl Then Hooks Up In Her Car... [RiPOuevVe34]
austen_summers_client_results | Juan Academy Mentorship Testimonial [M8kN314YKaU]
austen_summers_client_results | Patrick Immersion Testimonial [1hynveAsbJ4]
austen_summers_client_results | ＂I met my amazing girlfriend of six months＂ - Mentorship Results [Yr81ALhye2w]
daily_evolution | #1 Secret To CUT Flaking With Girls ｜ Infield + Text PROOF! [2QQwJ7i7Oj0]
daily_evolution | 10X Your Daygame Results In 3 Minutes [Y_D1jeEWCjA]
daily_evolution | 10X Your Daygame Results [qIHZgOD-mLc]
daily_evolution | 30 Day Pickup Challenge (EASY AND EFFECTIVE) [N4KiS8IRIVE]
daily_evolution | 5 Daygame Hacks You've Never Heard Before 🤯 [Qw9fQV_gsns]
daily_evolution | 5 RAW Daygame Infields 🚨 [GOZo4Z0brDc]
daily_evolution | 50 Infields ｜ Dating PhD ｜ Science & Systems That Work [Ohm16P8DifE]
daily_evolution | 52 Weeks of Infield Begins [pdrTpc9cnZ8]
daily_evolution | 7 tips to master pickup overnight [tjuN2MPc8PQ]
daily_evolution | A Pickup Sermon by Aaron Alexander [px-GTRLVJbE]
daily_evolution | APPROACHING ONE GIRL CAN CHANGE YOUR LIFE [mgtnel3HROk]
daily_evolution | Aaron Alexander's Most Inspirational Pickup Rant [5n0sxT3JxAQ]
daily_evolution | Aaron Rants About The Glory of Pickup And It’s Critics [TpdbOdQv4dg]
daily_evolution | Aaron Savagely Seducing Young French Vixen ｜ Daygame Infield [LqIhebo0AkY]
daily_evolution | Advice For Your First Cold Approach EVER [L9mcyTuXYjc]
daily_evolution | Afraid Of Talking To Women？ DO THIS! [+DAYGAME INFIELD] [2xBxkznXcoc]
daily_evolution | All The Students Are PULLING [qZeV9EgBE_c]
daily_evolution | Alpha Chad Picks Up A Girl + 2 Daygame Infields [ulw-Zd06RM0]
daily_evolution | Approach Anxiety Cure! The Final Solution! [-zbNWOEz6w8]
daily_evolution | Approach Anxiety Gone Forever + DAYGAME INFIELD [wbqyYQwhIzo]
daily_evolution | Approach Anxiety Instant FIX [qGXhMFaFMeM]
daily_evolution | Approach Anxiety Strategies & Solutions [CW_VMViZGn0]
daily_evolution | Approach Anxiety Tactical Solution [94VaAI7QKqA]
daily_evolution | Approach Anxiety Won't Go Away？ ｜ Approach Anyway [gOZTinYo_Z4]
daily_evolution | Approach Anxiety： DOMINATE Your Approach Anxiety With This Simple Trick [C-XwALY3hIc]
daily_evolution | Approach Any Woman In 30 Seconds [FpH_Zn1icf8]
daily_evolution | Approach Girls The Easy Way [1czUeECjDJo]
daily_evolution | Approach With Empathy ｜ No Days Off [u_WCWfkgTRs]
daily_evolution | Approaching A 10 In Miami [ctts8xePLWA]
daily_evolution | Approaching Greek Goddess 🥰 (+Daygame Infield) [3igAdpCb-CY]
daily_evolution | Approaching a Serious Hottie In A Clothing Store [4IRP_hqRYrY]
daily_evolution | Attract Women By Doing LESS [+INFIELD] [CaHOU3_G2_s]
daily_evolution | Bang Out Approaches Put Out Testers [4YkYUJ8MAWo]
daily_evolution | Bootcamp Infield + Coaching Clip [GvoA2AAHJuk]
daily_evolution | Bootcamp Student Gets Laid! Daygame Pickup! [L9ieEzXqB7E]
daily_evolution | Brutal Daygame Infield Rejection ：( [iKq38U4Gb-o]
daily_evolution | Brutal Daygame Session [jDjE0OMZAKQ]
daily_evolution | Brutal Rejection Compilation [ Daygame Infield ] [-ivcUSxXCHM]
daily_evolution | Creamy Pickup #dating #pickup #pickuplines [ZqA8okuEI-A]
daily_evolution | Critical Daygame Hack To Get More Girls [zOc19KfIcFk]
daily_evolution | Critical Daygame Mistake 99% Of You Are Making [uKaU5tahMiE]
daily_evolution | Cultivate Alpha Masculine Sexual Energy!!! + Infield Pickup [kaFllKd_hCM]
daily_evolution | DAYGAME BOMBS 💣💥 DAYGAME BOOTCAMP ADVICE [H_Zh15C_Wps]
daily_evolution | DAYGAME INFIELD PICK UP! Babe At The Grocery Store [L3b4FSMskGQ]
daily_evolution | DAYGAME INFIELD PREVIEW [Ylb1JjYht64]
daily_evolution | DAYGAME INFIELD ｜ HOT SINGLE MOM #MILF [Nr8wLPJzZGc]
daily_evolution | DAYGAME INFIELD ｜ Picking Up A VERY Shy Girl [rXfNz_mA_QM]
daily_evolution | DAYGAME INFIELD ｜ Picking Up Hot Blonde With Her Sister [YI0R17xr7Po]
daily_evolution | DAYGAME Infield Pickup INSTANT Make Out DRONE FOOTAGE! [HUaUzRpIfBw]
daily_evolution | DAYGAME Infield Pickup ｜ Situational Openers ｜ FULL DAYGAME INFIELD BREAKDOWN [8b19iuqAN6E]
daily_evolution | DAYGAME PICKING UP GIRLS 1 HOUR COMPILATION [CfsZbTegOCM]
daily_evolution | DAYGAME PICKUP INFIELD 1 HOUR COMPILATION [e1eqqTOSlkE]
daily_evolution | DAYGAME： How To Stop Girls On The Street Without Being A Weirdo [r5J3NM2-fsA]
daily_evolution | DEEP PICKUP TEACHINGS #91 Evolution Daily Podcast [FrOp9tuGdPU]
daily_evolution | Dating Coach Explains How To Have Fun In Pickup [Qz6yNWW3KmQ]
daily_evolution | Dating Coach Gives Life Changing Pickup Advice [ybUh62c4-S8]
daily_evolution | Daygame Anxiety？ Watch this NOW [7d7CNDnvh9w]
daily_evolution | Daygame Approach Motivation - Drowning Out Your Biggest Fear [oh6jBCuWuhM]
daily_evolution | Daygame Beginners Manifesto [QjjjgZbDomU]
daily_evolution | Daygame Bombs (Samurai Level 💣🥷) [0WjSJnQz_9I]
daily_evolution | Daygame Bootcamp ｜ Two Sets + Having Fun [S0QG0XPd_gE]
daily_evolution | Daygame Cheat Codes Announcement!!!! [GUAlalYUtRg]
daily_evolution | Daygame Crash Course - A Beginners Guide To Daygame [LJHQS8SXGCY]
daily_evolution | Daygame Deep Dive 1⧸5 [gQWiQbLxUBE]
daily_evolution | Daygame Deep Dive 3⧸5 [g-7icYm0VhE]
daily_evolution | Daygame Field Report [CR0eHQF4Asc]
daily_evolution | Daygame God Speaks From Mountain Top [0OBcvThsXJw]
daily_evolution | Daygame Grocery Store INFIELD ｜ Picking Up A Hot Veterinarian! [nxiWVD287tI]
daily_evolution | Daygame Grocery Store Infield Pick Up! Epic PICKUP! [2i4UOYnRXas]
daily_evolution | Daygame Grocery Store Infield ｜ Smokin' Hot Blonde [aw0vn2JOzgY]
daily_evolution | Daygame INFIELD Breakdown From Melbourne Australia [seKzM2XTmBc]
daily_evolution | Daygame INFIELD Pickup ｜ 3 Steps To Getting Her Phone Number [csdvJRVitB4]
daily_evolution | Daygame Infield + Approach Motivation 😤 [KykgNMSkSCQ]
daily_evolution | Daygame Infield + Daygame Pulling Girl To My Hotel [oRk9-BjnPVE]
daily_evolution | Daygame Infield + Married Chick Is Bringing Hotties To My Party [PE0mhxBtRkA]
daily_evolution | Daygame Infield - Babe At The Bus Stop [z1zP1vDSusw]
daily_evolution | Daygame Infield - How To Game A Two Set [Fyyd3eJzlQE]
daily_evolution | Daygame Infield - Quick Number Grab [qyUXSv4qyEU]
