# LOWTRANSCRIPT-RECHECK — 68 videos the old transcript_confidence<=55 gate blocked.
# Re-run 06->09 with new scoring prompt + threshold 35. Created 2026-07-08.
#
daily_evolution | Snapchat Infield ｜ Babes + Parties [JzYOhgT1MEM]
daily_evolution | Two Brand New Daygame Infields [EM809sN7ugY]
daily_evolution | Picking Up A 100 Year Old Woman 🤯 [Ten6Oby-9fw]
daily_evolution | Anti-Trump Rally Picking Up Hillary Supporters [WyXNWCB0U_k]
daily_evolution | Making Out With Hot Blonde In Front Of Friendzoned Dude [sAIrvTMmMqE]
playing_with_fire_infield | Can a Chad Get a Date with No Game？ (Pickup Experiment) [01TqyTfN4kE]
daily_evolution | Picking Up LONDON Redhead Angel [3-d1K8U02JE]
daily_evolution | INFIELD PICKUP DAYGAME REJECTIONS AT THE STORE! [6w0bzYaHsq0]
playing_with_fire_infield | How To Pickup Girls With A 100% Success Rate [OntdnFF7HSM]
daily_evolution | Infield Pick Up ｜ RAW UNEDITED [YMuLZZad0u8]
daily_evolution | INFIELD + Daygame Picking Up French Girl In The Mall [_me7IFHmDr4]
daily_evolution | Grocery Store Game 🥦 [a-NTBz-HMho]
daily_evolution | Daygame Student Infield + Daygame Approach KEY LESSON! [mn2xfgtcQZM]
playing_with_fire_infield | How To Make A Conversation SEXUAL Fast (Real Infield) [r3IxufCN1k0]
playing_with_fire_infield | Picking Up A Raver Girl At Ultra (This Is How You Tease A Girl) [tX9j5cLK63I]
daily_evolution | Hot Girls Sending Naughty Pics!! [ySrOSyZXhGA]
daily_evolution | Daygame Rejections ：( [1XUov0IQe0k]
daily_evolution | Picking Up Girl At Victorias Secret [6-errnEvBPc]
daily_evolution | We Asked Hot Girls Why They Ghost Guys [T5bfklJY_MI]
playing_with_fire_infield | How To Approach A Girl in EVERY Situation (Live Demo) [a5pPmkB-A7I]
daily_evolution | Picking Up HOT Bikini Babe With Her Friend [ngg5oQRr6N4]
daily_evolution | How To Pull From Dates + Epic Nightgame Infield [0TsvZLU7kTA]
daily_evolution | Hot Girls Teach You How To Pick Them Up!! [DG-KHp2r3HI]
daily_evolution | LIVE Daygame Infield ｜ NYC VLOGGIN' [JScNZ9y_E9c]
social_stoic | Picking-Up Cute Girl in Coffee Shop (Infield) [UMZkMjD3luQ]
daily_evolution | Treat Game As A Hobby [+Infield] [ZjD8D8m_92A]
daily_evolution | Picking Up Smoking Hot Blonde Chick [NIGHTGAME INFIELD] [arpG2y0VtKk]
daily_evolution | Picking Up Beyoncé!!!？ [ciiyo70s174]
