# QT9 sub-batch 13 — 20 videos. Created 2026-08-05.
daily_evolution | 10 Years In The Field by Aaron Alexander [qDQU-HKjFKM]
social_stoic | I Tested 3 Outfits - Which One Gets Most Girls？ (Infields) [qKDcTQ3IVlk]
austen_summers_meets_girls | How to Ask a Girl Out  (using her own advice) [qWqNDrjfUvc]
playing_with_fire_infield | How To Approach A Girl Wearing A Mask (Infield Demonstration) [qlV2aMbhvA0]
daily_evolution | INFIELD GOD RUNS DAYGAME PICKUP IN THE DARK [quLKrh-Abl0]
daily_evolution | Daygame Infield - Quick Number Grab [qyUXSv4qyEU]
playing_with_fire_infield | How To Make A Conversation SEXUAL Fast (Real Infield) [r3IxufCN1k0]
daily_evolution | DAYGAME： How To Stop Girls On The Street Without Being A Weirdo [r5J3NM2-fsA]
daily_evolution | GROUNDBREAKING GROCERY GAME TECHNIQUE! [r5gkD9xtTIE]
daily_evolution | POV Infield Coffee Shop Cutie [r5uhRWAVE50]
daily_evolution | Two Girls Love Me One Girl Hates Me ：( [rIOE9u18Wjg]
daily_evolution | DAYGAME INFIELD ｜ Picking Up A VERY Shy Girl [rXfNz_mA_QM]
playing_with_fire_infield | 8 Min Cold Approach Pull (Picking Up Two Girls On The Street w⧸ @aghayden ) [rlTWDFLaWCY]
coach_kyle_how_to_approach_a_girl | Creepy Kyle - Cringe Gym Pickup Lines｜Pt. 2｜#shorts [rwlACYYEwUY]
social_stoic | Flirt Like This or Stay Friendzoned Forever (Infield Proof) [s4aUoByxPfU]
daily_evolution | Making Out With Hot Blonde In Front Of Friendzoned Dude [sAIrvTMmMqE]
daily_evolution | 2021 Miami Summit Announcement [sDdJ1Fi6iXY]
social_stoic | Yes Man vs. Disagreeable Man： Who Gets More Girls？ (Real Life Test) [sNnxXLr-VOQ]
daily_evolution | Daygame Infield In Ancient Greece [sQz_-9BuNpw]
daily_evolution | Daygame INFIELD Breakdown From Melbourne Australia [seKzM2XTmBc]
