# Batch P007 -
# Created: 2026-02-06T20:01:54Z
# Videos: 100
# Estimated infield: 8/100
#
# Format: source_name | video_folder_name
social_stoic | I Met Cute Girls Just by Walking a Dog (Infields) [di3JrFOivNQ]
social_stoic | I Tested 3 Outfits - Which One Gets Most Girls？ (Infields) [qKDcTQ3IVlk]
social_stoic | Picking Up Hot Blonde After Her Brutal Breakup (Infield Breakdown) [F_tky6wVSsU]
social_stoic | Picking Up Hot Blonde in Central London (Infield) [h6_1fB_LR5A]
social_stoic | Picking-Up Cute Girl in Coffee Shop (Infield) [UMZkMjD3luQ]
social_stoic | Teaching MMA Fighter How To Cold Approach Women (Student Infield) [_Am8ItTeNoQ]
social_stoic | This Easy Hack Will Reduce Your Anxiety with Women (Infield Examples) [xnWRrBhCE6g]
social_stoic | This Move Sparks Instant Attraction (Infield Proof) [csomLwclnsI]
daily_evolution | 3 nightgame hacks you need or youll die [KyCegThpZDU]
daily_evolution | 4 SIMP Behaviors You MUST Stop! [GUKS17sSt1A]
daily_evolution | 4 Simple Steps To Master Game [1ZfZ3K-T190]
daily_evolution | 5 SECRETS To STOP Being a ＂NICE GUY＂ [RPuSDkubeMM]
daily_evolution | 5 Step Plan For Getting 500 Women [Mq83y_oao2c]
daily_evolution | 5 TIPS For Sex On The First Date! [7MsGkW9WltM]
daily_evolution | 5 Tips To Eliminate Nervousness When Talking To Girls [AKpAECnkfYA]
daily_evolution | 5 controversial weightloss hacks that made me chad [yTKorUpOgfA]
daily_evolution | 5,000,000 Views!!!! 🤯 [d-N4uMotK0o]
daily_evolution | 6 Month Goat 🐐 Transformation Mentorship [fVxrcgNrWnE]
daily_evolution | 7 Lines Of Intent For Picking Up Girls [uP1P_eD7-eo]
daily_evolution | 7 Steps To Escaping A Rut [FKgbK1eYHQU]
daily_evolution | 8⧸22⧸16 [gcNm2RJEA2A]
daily_evolution | 9 Energy Hacks For More Passion And Drive [ed2-SKxf9pk]
daily_evolution | 99% Will Fail At Everything - How To Be The 1% [IAkbi_SXgAA]
daily_evolution | A CALL TO ACTION [7fEpey8SIx0]
daily_evolution | A MAN  With Options ｜ Inner Game Training Series 1⧸5 [GPLvPkiNcmU]
daily_evolution | ABUNDANCE： The Keys To Dating And Life [ehS2vbhebBY]
daily_evolution | ACTION REQUIRED [upLCEpPewrs]
daily_evolution | AFFIRM： I AM A KING #89 Evolution Daily Podcast [9W6NWNfUrL0]
daily_evolution | ALWAYS GO FOR THE CLOSE [-WWNFiRQ6YA]
daily_evolution | Adapt To Varying Energies And Treat Each Interaction Exclusively： Calibration [GOMUUyTCu-g]
daily_evolution | Alpha Chad Got Sucked Off [KPacMr1omNs]
daily_evolution | Always Assume Attraction [1x2mn3W6dwA]
daily_evolution | Always Go For The Close (How I Learned This) [cQJH8YLe8pI]
daily_evolution | An 8 Hour Tantric Coke Fueled Mess [ldIODomsIFk]
daily_evolution | An Introverts Guide To Speaking With Charisma [V58WkxrzUKE]
daily_evolution | An Unexpected Journey [czXQMd8nZho]
daily_evolution | Andrew Tate Taught Me Duty & Self Hatred [qR8etG16c4E]
daily_evolution | Anti-Trump Rally Picking Up Hillary Supporters [WyXNWCB0U_k]
daily_evolution | Are You An Awful Wingman？ [ciRt8tzxCp8]
daily_evolution | Are You Trash Or Treasure？ [we25di9YAJg]
daily_evolution | Are You Wasting Your Life？ #101 Evolution Daily Podcast [olt7mUbv7bU]
daily_evolution | Ask And It Is Given [JEbmd1578DM]
daily_evolution | Ask Her Out King #shorts #dating [Gub2b2wKI8U]
daily_evolution | Assume Attraction ALWAYS [K2cBWlZkgak]
daily_evolution | Attract Any Woman RIGHT NOW! (Even If You're Broke And Ugly) [RBpWmTu3OMo]
daily_evolution | BEST At Home Workout Routine 2020 [T7xJ2YaS8fc]
daily_evolution | BIG EVO DAILY ANNOUNCEMENTS 2020 [bqIlPMVIGu8]
daily_evolution | Baby Step Your Way To Greatness [oC59yaxvprs]
daily_evolution | Be More Confident With Women! [KrZZo_BmmdQ]
daily_evolution | Be More Masculine And Grounded With Women [g2OT6sOt7TQ]
daily_evolution | Be More Natural Around Women [rsBkYPzNGuY]
daily_evolution | Be Your Own Hype Man [PpUO2RHibqY]
daily_evolution | Become More Attractive Overnight (Easiest Hack) [d0QsSEMz1z4]
daily_evolution | Become an Entrepreneur! Don't Be A Slave! [inOC05_xyyY]
daily_evolution | Becoming An Attractive Man [KZ28X2eElHw]
daily_evolution | Becoming The Man Who Deserves Women [zjB0hCQu_Zk]
daily_evolution | Best Place To Go For A First Date [t67IHYpjEBY]
daily_evolution | Better Conversations With Girls [THs3oOXpUps]
daily_evolution | Better Conversations With Women In 90 Seconds [B5AikkHrzuk]
daily_evolution | Big Moves Or Die [L3sTkwVpKP8]
daily_evolution | Bootcamp Podcast In Miami #83 Evolution Daily Podcast [HzD4r19NF0Q]
daily_evolution | Booze & Coffee ｜ Facebook LIVE [MaQTfPhxyYY]
daily_evolution | Bounce Back FAST From Bad Nights Full Of Rejection [zQj8PGLNwiE]
daily_evolution | Break The Chains And Plow Forward! (Aaron Finally Loses It) [vLnb3CWWbwk]
daily_evolution | Break The Chains Of Social Anxiety ｜ Motivational Rant [q98fpWxrEOc]
daily_evolution | Build Nightgame Momentum Fast 🚨 [Xjny5TMyv64]
daily_evolution | Building Abundance + Social Momentum [Z-p5zWhvZE4]
daily_evolution | Buying TWO of You Guys My Favorite Book!!! [1clU3azqIKw]
daily_evolution | CHOOSING SIGNALS!？ 😤 [feeT8i3tVb4]
daily_evolution | Can You ACTUALLY Get Good At Game？ [Husc_BTKyF4]
daily_evolution | Chakra Kitty Joins The Show! #97 Evolution Daily Podcast [_dJ7_AOi1z8]
daily_evolution | Change Your Entire Life In One Year [5GIsdzSud20]
daily_evolution | Chatting With You Chads [gzCDaZRnbyc]
daily_evolution | Chicago FREE Seminar + Bootcamp NEXT WEEKEND! [Lw1VXqvOaeg]
daily_evolution | Choosing Signals Are Beta [RsI6TaUGP04]
daily_evolution | Closing When You Get Her Home [f--IwU9pZMI]
daily_evolution | Coaching A Student [Move With Meaning!] [MP-FfMtNVY8]
daily_evolution | Confidence With Women Grounding Meditation [vW2DP7DLh1Q]
daily_evolution | Covid Bootcamp Student Joins The Podcast #60 The Aaron Alexander Experience Podcast [MmNlLdRpbLY]
daily_evolution | Crucial Inner Game Training [hUxJwEkIIXs]
daily_evolution | Crush Your Goals!!! [jI6EhCqfnO4]
daily_evolution | Cute Blonde Joins The Meetup [Eq20dFY8aEI]
daily_evolution | Cute Brazilian 😍 #shorts #dating [O754Kf2NQH0]
daily_evolution | D-Day Game Revealed [mkfqL9ZS7eQ]
daily_evolution | DATE OR DIE!!! [kUOW0QueXm4]
daily_evolution | DEEP ADVICE FOR LIFE [LONG RANT] [PCKsooX66y8]
daily_evolution | DEEP INNER GAME ADVICE [jn7BbqZAtdw]
daily_evolution | DO NOT GET FAT 🍗 [NKcOIeDZnZ4]
daily_evolution | DON'T BE WHAT THEY TOLD YOU TO BE #BESTLIFE [w-MKxQU0_9Q]
daily_evolution | Dan Bilzerian SCAM Exposed [DbTWE5sbObc]
daily_evolution | Dance Floor Game Simple 4 Step Formula [8X2xX8O-bjI]
daily_evolution | Date Hotter Women By Understanding THIS [T5h0rAtlStM]
daily_evolution | Dating Advice For Student's Tinder Girl [lX4jiyrSd7A]
daily_evolution | Dating Advice From Girls!!! [spxWhAlm9w8]
daily_evolution | Dating Coach Explains How He Met This Girl! [GgUfcJCE5lk]
daily_evolution | Dating Coach Explains How To Get More Women [AOOFIMhlHxE]
daily_evolution | Dating Coach Explains How To Handle Rejection [qIa9UNo4qPM]
daily_evolution | Dating Coach Gives Advice Then Makes Out With A Chick [e5Q6hGwr5Us]
daily_evolution | Dating Coach Gives SHOCKING Tips For Picking Up Girls [AY15PwGdnes]
daily_evolution | Dating Coach Gives You Solid Advice [otKXguPbi9Y]
