# Batch QUALITY-TEST.2 (QT2) — 100 fresh videos, primarily infield + representative mix
# Created: 2026-06-18. ~65 infield across producers + ~35 theory/other. All unprocessed (no stage 06).
# Videos: 100
playing_with_fire_infield | How to Approach Women on The Street (LIVE Infield Breakdown) [3ruR2znrHMM]
playing_with_fire_infield | How To Pickup A Girl On The Street (Full Infield Breakdown) [hr7oNU8N_PA]
playing_with_fire_infield | How To Approach A Girl Wearing A Mask (Infield Demonstration) [qlV2aMbhvA0]
playing_with_fire_infield | Social Experiment： Does Race Matter In Approaching Girls [D-7S6jnXDCg]
playing_with_fire_infield | Picking Up A Bratty Girl During An Interview [sx6BdsFnJpY]
playing_with_fire_infield | Flat Earthers Pick Up Hot Girls (LIVE infield) [g-hSM5Vb4Sk]
playing_with_fire_infield | Epic Infield Rejection Compilation (Special 75k Bonus) [CdNI2fre0SY]
playing_with_fire_infield | How To Get An Instant Date In 2 Minutes (100% Real Infield) [9r6_bAyzIZE]
playing_with_fire_infield | How To Approach A Girl in EVERY Situation (Live Demo) [a5pPmkB-A7I]
playing_with_fire_infield | How To Pickup A Hot Girl With Her Mom [MLsXlUmxIpk]
playing_with_fire_infield | How To Approach A Girl Like A Boss (PWF Client Infield Demonstration) [feaoEKc17qo]
playing_with_fire_infield | Shoe Interrogation Scene ｜ INGLOURIOUS BASTERDS (2009) Movie CLIP HD [OkKW4rFrY9s]
playing_with_fire_infield | White Guy vs. Indian - Same Girl Cold Approach Experiment (Infield Breakdown) [G9ZQD5QD-pk]
playing_with_fire_infield | How to Tell If A Girl Likes You (Look For These Signs of Attraction) [TfJZ1k5UnFA]
playing_with_fire_infield | How To Pickup Girls With A 100% Success Rate [OntdnFF7HSM]
playing_with_fire_infield | Special 50k Daygame Infield Reveal ⧸ Live Q&A [37je3fMAEGI]
playing_with_fire_infield | 8 Min Cold Approach Pull (Picking Up Two Girls On The Street w⧸ @aghayden ) [rlTWDFLaWCY]
playing_with_fire_infield | How To Make A Conversation SEXUAL Fast (Real Infield) [r3IxufCN1k0]
social_stoic | How To Stop Girls Flaking On You (Text Examples) [wJXy03Z9wts]
social_stoic | Yes Man vs. Disagreeable Man： Who Gets More Girls？ (Real Life Test) [sNnxXLr-VOQ]
social_stoic | How To Make Any Boring Conversation Flirty (Infield Examples) [lSXqK_zSgNU]
social_stoic | Exactly How to Pick Up 9s and 10s (Infield Examples) [F2PnXKlMKA0]
social_stoic | This Easy Hack Will Reduce Your Anxiety with Women (Infield Examples) [xnWRrBhCE6g]
social_stoic | Do THIS To 10x Your Results With Women (Infield Examples) [XOS_kGpXl0U]
social_stoic | I Met Cute Girls Just by Walking a Dog (Infields) [di3JrFOivNQ]
social_stoic | I Tested 3 Outfits - Which One Gets Most Girls？ (Infields) [qKDcTQ3IVlk]
social_stoic | Picking Up Hot Blonde in Central London (Infield) [h6_1fB_LR5A]
social_stoic | How to Approach a Hot Girl & Get a Date (Infield) [9qhNfnXSIVg]
social_stoic | How to Respond to a Dismissive Woman (Shit Test) [n6Tnx7GHXtE]
social_stoic | How to Pick Up an Arrogant Woman (Infield) [gISxAc0Zvtw]
social_stoic | Crazy Pickup Lines That Actually WORKED (Infield Breakdown) [JYzJLfBi4R0]
social_stoic | Picking-Up Cute Girl in Coffee Shop (Infield) [UMZkMjD3luQ]
daily_evolution | Dedicate Your Entire Life To Cold Approach Pickup (+INFIELD) [EO2a02zFUmA]
daily_evolution | My Number One Approach Anxiety Hack! [WjZOIty2rkA]
daily_evolution | Pickup Infield ｜ Making Out With Hot Black Girl Nightgame [eNluVx4DMlg]
daily_evolution | RIZZCON is approaching!!! Labor Day Weekend In ATX [Ha8dSc56TXI]
daily_evolution | DAYGAME PICKUP INFIELD 1 HOUR COMPILATION [e1eqqTOSlkE]
daily_evolution | Daygame Infield Pickup ｜ Hot Fitness Chick FULL BREAKDOWN [K-18DC0j1Nc]
daily_evolution | Daygame Student Infield Coaching Session Part 1 [egEpZJfgwfc]
daily_evolution | How To Advance In Night Game Attraction Vs. Pursuit [fkePh5RPUNg]
daily_evolution | Daygame： Why You Suck + Daygame Infield [tvxpP0o8xG0]
daily_evolution | INFIELD of Daygame Student's First Approach EVER! [2cALY6QVfJo]
daily_evolution | GET LAID OR DIE + Daygame Infield [hXDn8paN-W0]
daily_evolution | Daygame Pickup Goes Horribly Wrong [fR2SHFTVlII]
daily_evolution | Picking Up Hot Latina (Daygame Infield BRAND NEW 2021) [eFmMa8svM70]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #16 - Breaking Gamma Habits [SlBTXDT_7_c]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #6 - Feel Entitled To Younger, Hotter, Tighter [n8if10uPTiY]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #13 - The r⧸K Wilderness [dnm9i-WQNvg]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #2 - The Balance Between Nice Guy And Bad Boy [ngQCDZM2dzQ]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #18 - Play Or Be Played？ [Y0jt_d1Qvz4]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #17 - An Audience With Goldmund 1⧸2 [ziusm3D5rN8]
NICK_KRAUSER_VIRTUARESI | Virtua Resi #4 - Street Presence [KCdbUbCTDDA]
NICK_KRAUSER_VIRTUARESI | Virtua Resi #6 - Happy Dog Face [Lhg-ycvVSro]
NICK_KRAUSER_VIRTUARESI | Virtua Resi #1 - Gutter Game [LCMW0fFEKQk]
natural_lifestyles_meetingGirlsIRL | She Just Left Her Husband – Here’s How I Got Her Number (LIVE Infield Analysis) [kyBKT_uIREA]
natural_lifestyles_meetingGirlsIRL | James Marshall ROASTS Himself! (Analyzing Ancient Infield Footage) [vMAXQVdd2EE]
natural_lifestyles_meetingGirlsIRL | Getting Arrested For Picking Up Girls!？ [9wiDrfj5HEc]
natural_lifestyles_meetingGirlsIRL | I picked up a curvy Irish tourist in 5 minutes - How to get fast holiday hookups [N2UbTTfCfqg]
natural_lifestyles_meetingGirlsIRL | Psychedelic Farmer chats up Barcelona Ladies (How to get Dates this Summer w⧸ James Marshall) [LCkyC_QKIJE]
natural_lifestyles_meetingGirlsIRL | 5 Easy, No B.S. Ways To Approach Women In The Street (+ Infield Demonstration) [J8YMzCabd2s]
austen_summers_meets_girls | How to Take Home a Latina MILF (+Daygame Infield) [bzUa2cB61hU]
austen_summers_meets_girls | A Basic Daygame Approach Anyone Can Do [H3_8iPikhDw]
austen_summers_meets_girls | Casey Neistat Picking Up Girls [fbRpUOxqWcs]
austen_summers_meets_girls | 7 Minute Pull - Analysis [3u0I751NGN0]
daily_evolution | How Do I Believe In Myself？ [ScoJ84nJZ_0]
daily_evolution | THE FOUNTAIN OF YOUTH 💦 [BNPJSzy8x9A]
daily_evolution | SOUTH BEACH PARTY [v6Wdc3BxL6U]
daily_evolution | PUA Advice From Spiritual Healer #101 Evolution Daily Podcast [VVPxfbzWSQA]
daily_evolution | Why Your Life Sucks (And How To Fix It) [tff5_Me75aQ]
daily_evolution | Should I Game While In A Relationship？ #HOEREADY [eo2rKk0wLiE]
daily_evolution | How To Assert Yourself As Higher Value IMMEDIATELY [S8OxISTXWWs]
daily_evolution | When To Bring A Girl Home [6jCxpW2SRBc]
daily_evolution | You Are NOT ENOUGH! 🚨 [EVy710VEgUs]
daily_evolution | BIG EVO DAILY ANNOUNCEMENTS 2020 [bqIlPMVIGu8]
coach_kyle_deep_videos | 9 Things About Women's Psychology Most Men Never Learn [p8DneU9Cb3k]
coach_kyle_deep_videos | The SECRET to Avoiding Friendzone Forever [YaTg0laJ7Yo]
coach_kyle_deep_videos | How to turn ANY WOMAN on (without touching her) [74mlUuY3_Wc]
coach_kyle_deep_videos | How To Smoothly Escalate To A Kiss (FULL GUIDE) [iZhIAx1j2uw]
coach_kyle_deep_videos | 6 HARSH Truths About Women (I wish I knew sooner) [tyHF8C1gzUI]
coach_kyle_deep_videos | A video to watch if she just broke up with you [mAqpOtw5nN4]
coach_kyle_deep_videos | How To Become ＂The Guy＂ In Any Venue That You Frequent [i5ED74iA_1Q]
coach_kyle_deep_videos | 8 Charts That Will Change The Way You See Dating (Dating Coach Reacts) [wtx1DOptt7k]
natural_lifestyles_femalepsychology | How To Handle Awkwardness Around Women (& Solve Cringey Moments) [Dbuccqbqlfg]
natural_lifestyles_femalepsychology | Why Players Find “The One” (& Nice Guys Settle For Anyone) [pChsRxVDFgs]
natural_lifestyles_femalepsychology | Relationship Red Flags, Nice Guy Pathology & Women’s Personality Disorders (Orion Taraban Interview) [xjH8pDVPbY0]
natural_lifestyles_femalepsychology | Good Girls are Easier than Sl＊ts [pE9F1kjk-i0]
natural_lifestyles_femalepsychology | How Female Friends Get You Laid (& Keep You Sane) [_8hNvWtZIl8]
natural_lifestyles_femalepsychology | When she says “Not tonight, we just met” - How to Smoothly Navigate women’s first date “rules” [QZHrOyRg8EI]
natural_lifestyles_femalepsychology | The #1 Conversation Mistake Men Make (& what to say instead) [k-Vv755lzl4]
TODD_V_CONVERSATION_TOPICS | Why You Get Rejected (+Student Infield) [VGuAGRORK68]
TODD_V_CONVERSATION_TOPICS | 6 Secrets to Healthy Relationships on Your Terms [oIlEXw6L5ds]
TODD_V_CONVERSATION_TOPICS | Why Girls Love Low-Energy “Introvert” Game + (Infield Video) [oZyuJHgeKBs]
TODD_V_CONVERSATION_TOPICS | Disqualification -- The Advanced Game Cheat Code [WPz6wuIpK6g]
TODD_V | 01.1 Todd V - Distinction Between Daygame And Nightgame - How To Be A Badass Daygamer？ [Sjcgqbd_WJM]
TODD_V | 03.2 Todd V - How To Talk To A Girl - Exact Steps For Endless Engaging Conversations [M2TWuTgx1SM]
TODD_V | 04.1 Todd V - How To Make Her Chase You Instantly - How To Trigger MASSIVE Attraction And Desire [AF0iOsmomlY]
austen_summers_client_results | Pulled and Closed Two Girls - ＂Everything You Need Is Here＂ - Immersion Testimonial [Fg7YwHgylyk]
austen_summers_client_results | 100 Approaches Done - Immersion Results [10n12ELi81g]
austen_summers_client_results | Leveled Up Social Skills, Looks, and Online - Immersion Results [TPyy-HDQOFM]
playing_with_fire_infield | How to Approach Girls ｜ From Opener to Date (Daygame Infield & Text Screenshots) [EpNmjlq0H0k]
